proj,chip,experiment,max_reward,min_reward,mean_reward,n_episodes
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_11,15.0,9.0,10.7,164.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long_2,15.0,10.0,11.2,67.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_16,15.0,9.0,10.8,165.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_17,15.0,9.0,10.7,166.0
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F,15.0,12.0,13.0,13.0
24-05-24,22194,baseline/baseline_cartpole_long,15.0,10.0,10.7,61.0
24-01-07_data,20217,exp2/exp2_cartpole_long_18,14.0,9.0,10.9,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_3,14.0,10.0,10.8,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_9,14.0,10.0,10.8,200.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_7,14.0,10.0,10.9,164.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long_3,14.0,10.0,11.5,20.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_7,14.0,9.0,10.7,164.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_6,14.0,9.0,11.0,162.0
24-01-07_data,20217,exp3/exp3_cartpole_long,14.0,9.0,10.9,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_2,14.0,10.0,11.0,200.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_16,14.0,10.0,11.2,55.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long_4,14.0,10.0,12.0,6.0
24-01-07_data,20217,exp2/exp2_cartpole_long_14,14.0,9.0,10.8,200.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_15,14.0,9.0,10.9,163.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_2,14.0,9.0,10.7,164.0
24-01-07_data,20217,exp3/exp3_cartpole_long_2,14.0,10.0,10.9,200.0
24-05-24,22194,baseline/baseline_cartpole_long_5,13.0,10.0,11.1,7.0
24-04-18_butterfly,p001237,exp6/exp6_cartpole_long,13.0,10.0,10.7,26.0
24-01-07_data,20217,exp2/exp2_cartpole_long_11,13.0,9.0,10.7,200.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_4,13.0,10.0,10.7,164.0
24-01-07_data,20217,exp2/exp2_cartpole_long_17,13.0,9.0,10.8,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_15,13.0,9.0,10.7,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_12,13.0,10.0,10.8,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_10,13.0,9.0,10.8,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_5,13.0,9.0,10.8,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_6,12.0,10.0,10.8,200.0
24-01-07_data,20217,exp3/exp3_cartpole_long_1,12.0,9.0,10.6,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_16,12.0,10.0,10.7,200.0
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_1,12.0,10.0,11.3,16.0
24-01-07_data,20217,exp2/exp2_cartpole_long_8,12.0,9.0,10.6,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_7,12.0,9.0,10.7,200.0
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F,,,,
23-11-30_cartpole,22064,exp3/exp3_cartpole_3,,,,
23-11-30_cartpole,22064,exp3/exp3_cartpole_4,,,,
23-11-30_cartpole,22064,exp3/exp3_cartpole_8,,,,
23-11-30_cartpole,22064,exp3/exp3_cartpole_9,,,,
23-11-30_cartpole,22064,exp7/exp7_cartpole_3,,,,
23-11-30_cartpole,22064,exp7/exp7_cartpole_4,,,,
23-11-30_cartpole,22064,exp7/exp7_cartpole_8,,,,
23-11-30_cartpole,22064,exp7/exp7_cartpole_9,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_1,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_2,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_3,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_4,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_5,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_6,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_7,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_8,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_9,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_10,,,,
2025-03-24_cp_full_drugs,25245lc,full5/full5_cartpole_F_11,,,,
