proj,chip,experiment,max_reward,min_reward,mean_reward,n_episodes
2024-05-06_butterfly,22097,rl_only/rl_only_cartpole_long_6,251.0,11.0,49.3,68.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_4,235.0,11.0,32.7,91.0
24-05-24,23134,dmso/dmso_cartpole_long_2,234.0,9.0,36.4,83.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_13,233.0,10.0,48.4,65.0
24-03-25_plasticity,p001237,exp7/exp7_cartpole_long_2,233.0,,,1.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_8,231.0,11.0,35.8,85.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_14,231.0,11.0,45.5,71.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_5,227.0,11.0,50.3,66.0
24-01-07_data,20217,exp1/exp1_cartpole_long_4,227.0,10.0,45.2,88.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_10,227.0,10.0,41.9,76.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_2,222.0,10.0,43.7,74.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_4,221.0,10.0,69.9,51.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_11,220.0,15.0,47.4,70.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_6,220.0,11.0,49.9,66.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_21,219.0,10.0,64.1,55.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_13,217.0,11.0,48.2,69.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_8,211.0,10.0,39.6,79.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_12,211.0,12.0,50.9,66.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_9,211.0,12.0,38.7,79.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_18,210.0,11.0,39.7,79.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_10,208.0,12.0,35.2,86.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_5,207.0,10.0,29.4,97.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_8,207.0,12.0,45.2,71.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_18,206.0,12.0,59.7,58.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_7,205.0,10.0,53.6,63.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_5,205.0,10.0,33.3,89.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_12,203.0,12.0,37.6,82.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_17,199.0,10.0,37.1,84.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_2,199.0,10.0,22.0,117.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_17,199.0,11.0,28.8,99.0
2024-05-06_butterfly,22097,rl_only/rl_only_cartpole_long_3,197.0,10.0,25.3,107.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_6,197.0,15.0,63.2,56.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_10,194.0,12.0,42.1,76.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_15,192.0,10.0,52.1,65.0
24-03-25_plasticity,p001237,exp5/exp5_cartpole_F,192.0,10.0,34.0,197.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_9,191.0,10.0,43.9,74.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_7,189.0,12.0,43.0,75.0
24-03-25_plasticity,p001237,RL2/RL2_cartpole_long,186.0,10.0,32.4,91.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_7,185.0,16.0,57.4,59.0
24-04-18_butterfly,23186,RL_only/RL_only_cartpole_long_2,185.0,12.0,46.3,71.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_3,184.0,11.0,39.0,79.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_3,184.0,10.0,34.9,86.0
24-05-24,23134,dmso/dmso_cartpole_long_3,184.0,9.0,34.4,88.0
24-05-24,23134,dmso/dmso_cartpole_long_9,182.0,10.0,30.2,96.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_6,182.0,10.0,29.9,96.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_11,181.0,10.0,33.9,88.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_3,180.0,10.0,25.6,107.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_2,180.0,11.0,37.5,83.0
24-05-24,23134,dmso/dmso_cartpole_long_18,175.0,11.0,56.8,61.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_4,175.0,13.0,46.7,70.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_9,173.0,10.0,30.7,94.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_9,173.0,19.0,40.9,78.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_13,171.0,11.0,29.5,97.0
25-02-2025_cp_drugs_gpu,25178ic,drug4/drug4_cartpole_F,171.0,12.0,41.8,76.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_15,166.0,12.0,26.7,103.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_3,166.0,13.0,55.3,61.0
23-11-30_cartpole,22064,exp3/exp3_cartpole_1,163.0,11.0,33.4,100.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_5,160.0,11.0,62.7,56.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_2,160.0,11.0,57.6,60.0
24-05-24,23134,dmso/dmso_cartpole_long_19,158.0,11.0,36.6,85.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_5,158.0,10.0,26.4,104.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_5,157.0,11.0,36.4,84.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long,157.0,10.0,38.5,81.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_2,154.0,11.0,23.7,111.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_16,153.0,10.0,40.8,77.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_12,153.0,10.0,37.7,80.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long,151.0,11.0,35.0,87.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_16,151.0,10.0,30.5,95.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_1,151.0,11.0,39.7,79.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_8,150.0,11.0,44.7,72.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_19,150.0,12.0,40.7,77.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_6,150.0,10.0,34.2,88.0
